Series ID,Year,Period,Label,Value
LAUCN421010000000003,2019,M07,2019 Jul,5.8
LAUCN421010000000003,2019,M08,2019 Aug,6.1
LAUCN421010000000003,2019,M09,2019 Sep,4.9
LAUCN421010000000003,2019,M10,2019 Oct,4.9
LAUCN421010000000003,2019,M11,2019 Nov,4.7
LAUCN421010000000003,2019,M12,2019 Dec,4.6
LAUCN421010000000003,2020,M01,2020 Jan,5.2
LAUCN421010000000003,2020,M02,2020 Feb,5.1
LAUCN421010000000003,2020,M03,2020 Mar,6.0
LAUCN421010000000003,2020,M04,2020 Apr,15.9
LAUCN421010000000003,2020,M05,2020 May,15.6
LAUCN421010000000003,2020,M06,2020 Jun,15.7
LAUCN421010000000003,2020,M07,2020 Jul,15.4
LAUCN421010000000003,2020,M08,2020 Aug,13.5
LAUCN421010000000003,2020,M09,2020 Sep,12.4
LAUCN421010000000003,2020,M10,2020 Oct,10.9
LAUCN421010000000003,2020,M11,2020 Nov,10.7
LAUCN421010000000003,2020,M12,2020 Dec,10.7
LAUCN421010000000003,2021,M01,2021 Jan,10.2
LAUCN421010000000003,2021,M02,2021 Feb,9.8
LAUCN421010000000003,2021,M03,2021 Mar,9.1
LAUCN421010000000003,2021,M04,2021 Apr,8.6
LAUCN421010000000003,2021,M05,2021 May,8.4
LAUCN421010000000003,2021,M06,2021 Jun,9.0
LAUCN421010000000003,2021,M07,2021 Jul,8.2
LAUCN421010000000003,2021,M08,2021 Aug,8.1
LAUCN421010000000003,2021,M09,2021 Sep,6.5
LAUCN421010000000003,2021,M10,2021 Oct,6.2
LAUCN421010000000003,2021,M11,2021 Nov,5.4
LAUCN421010000000003,2021,M12,2021 Dec,4.6
LAUCN421010000000003,2022,M01,2022 Jan,5.6
LAUCN421010000000003,2022,M02,2022 Feb,5.3
LAUCN421010000000003,2022,M03,2022 Mar,4.8
LAUCN421010000000003,2022,M04,2022 Apr,4.6
LAUCN421010000000003,2022,M05,2022 May,4.8
LAUCN421010000000003,2022,M06,2022 Jun,5.1
LAUCN421010000000003,2022,M07,2022 Jul,5.3
LAUCN421010000000003,2022,M08,2022 Aug,5.8
LAUCN421010000000003,2022,M09,2022 Sep,4.4
LAUCN421010000000003,2022,M10,2022 Oct,4.5
LAUCN421010000000003,2022,M11,2022 Nov,4.3
LAUCN421010000000003,2022,M12,2022 Dec,3.9
LAUCN421010000000003,2023,M01,2023 Jan,4.5
LAUCN421010000000003,2023,M02,2023 Feb,4.6
LAUCN421010000000003,2023,M03,2023 Mar,4.2
LAUCN421010000000003,2023,M04,2023 Apr,3.7
LAUCN421010000000003,2023,M05,2023 May,4.1
LAUCN421010000000003,2023,M06,2023 Jun,4.4
LAUCN421010000000003,2023,M07,2023 Jul,4.6
LAUCN421010000000003,2023,M08,2023 Aug,5.3
LAUCN421010000000003,2023,M09,2023 Sep,4.2
LAUCN421010000000003,2023,M10,2023 Oct,4.4
LAUCN421010000000003,2023,M11,2023 Nov,4.1
LAUCN421010000000003,2023,M12,2023 Dec,3.9
