"","GEOID","median_rent","total_pop","pct_white","pct_black","pct_asian","median_hh_income","pct_renter","median_year_built_renter","aggregate_rooms","median_rooms","total_hh","pct_family","pct_unemployed","pct_rent_burdened"
"1","42101000101",2057,1996,86.4228456913828,2.35470941883768,3.65731462925852,108438,74.6648793565684,1938,1600,2.9,1492,19.3029490616622,2.23835450695705,32.9443447037702
"2","42101000102",2242,3025,86.2479338842975,2.54545454545455,7.17355371900826,108203,62.2725036891294,1938,2259,2.8,2033,19.6753566158387,4.63960231980116,24.8815165876777
"3","42101000200",1768,3259,45.7195458729672,8.10064436943848,42.7124884934029,97256,53.5017221584386,1974,1883,3.5,1742,39.3226176808266,0,47.2103004291845
"4","42101000300",2102,4236,62.2993389990557,11.6383380547686,15.6751652502361,102330,80.8844507845934,1975,2998,2.8,2804,16.8330955777461,1.59436410826845,33.5978835978836
"5","42101000401",1318,2857,50.2975148757438,21.1760588029401,23.1361568078404,89663,68.3982683982684,1962,2356,2.4,2079,20.5387205387205,1.50724637681159,33.4739803094233
"6","42101000403",2168,1046,80.4971319311664,2.67686424474187,10.038240917782,187743,30.2292263610315,1938,808,3.2,698,35.6733524355301,10.4105571847507,13.7440758293839
"7","42101000404",2255,2815,79.2895204262878,5.36412078152753,9.34280639431616,93998,53.4442903374942,1971,2721,3.1,2163,20.5732778548313,6.50557620817844,28.2006920415225
"8","42101000500",1859,3292,41.0388821385176,33.5662211421628,17.5577156743621,68977,93.8513513513514,1998,1654,2,1480,14.3918918918919,5.52184466019417,44.2044636429086
"9","42101000600",2398,1859,68.8004303388919,8.60677783754707,20.0107584722969,145036,99.2424242424242,1938,1554,2.8,1188,19.1919191919192,4.37544107268878,32.2307039864292
"10","42101000701",2177,2024,79.298418972332,3.50790513833992,15.3162055335968,90343,77.3148148148148,1938,1784,3.1,1512,17.3941798941799,1.05263157894737,43.0282292557742
"11","42101000702",2168,2031,52.3879862136878,3.00344657804037,25.4062038404727,63200,76.2793914246196,1973,1696,2.8,1446,14.2461964038728,1.2588512981904,48.0507706255666
"12","42101000801",1942,1716,72.960372960373,1.98135198135198,9.96503496503496,130096,65.1515151515152,1938,1147,3.7,990,41.6161616161616,1.99833472106578,55.3488372093023
"13","42101000803",1762,3580,81.536312849162,1.87150837988827,7.68156424581006,86538,53.1223267750214,1945,2607,3.5,2338,31.7792985457656,2.79232111692845,44.0418679549114
"14","42101000805",2008,2512,75.2786624203822,0.477707006369427,16.3614649681529,90741,74.789029535865,1950,2310,2.6,1896,20.253164556962,4.71264367816092,49.5063469675599
"15","42101000806",2441,2347,78.6536003408607,3.74946740519813,12.6970600766937,179609,75.6724447101016,1974,2006,2.9,1673,19.4859533771668,7.09421112372304,24.3285939968404
"16","42101000901",1417,2127,55.1951104842501,20.075223319229,12.5528913963329,51384,88.2905447714465,1938,1858,2.2,1597,18.2216656230432,1.23939986953686,57.0921985815603
"17","42101000902",1630,2714,68.7177597641857,5.34266764922623,20.4495210022108,85271,88.9539136795903,1973,1497,3.2,1367,39.3562545720556,7.03448275862069,35.6907894736842
"18","42101001001",2262,2816,89.9857954545455,1.171875,5.64630681818182,114205,46.6398621481907,1960,1990,3.5,1741,33.0844342331993,0.687285223367698,34.9753694581281
"19","42101001002",2086,3493,86.2009733753221,0.801603206412826,11.0220440881764,137250,31.5647482014388,1952,2569,3.5,2224,27.7428057553957,2.18543046357616,44.4444444444444
"20","42101001101",1365,4429,60.6909008805599,16.8886881914653,8.42176563558365,61850,78.2197715636077,1945,2558,2.7,2539,29.26348956282,6.75929402929027,48.6908358509567
"21","42101001102",1752,2960,75.5405405405405,5.81081081081081,7.16216216216216,136310,50.5681818181818,1938,1707,4.2,1584,46.8434343434343,4.18429713211095,37.4531835205993
"22","42101001201",2071,4119,84.3165816945861,5.53532410779315,2.47632920611799,119683,55.396370582617,1938,2349,4.3,2094,35.5300859598854,1.46038700255568,41.2068965517241
"23","42101001203",1840,1883,86.5639936271907,1.85873605947955,5.94795539033457,107537,73.2548359966358,1938,1238,2.7,1189,23.8015138772077,4,37.6578645235362
"24","42101001204",1623,3449,85.1841113366193,0.927805160916208,3.74021455494346,94056,67.67578125,1938,2359,3.4,2048,31.4453125,8.7819947043248,38.8167388167388
"25","42101001301",1980,1773,62.0981387478849,25.26790750141,6.42978003384095,133320,36.3984674329502,1951,920,5.4,783,61.4303959131545,1.85873605947955,11.9298245614035
"26","42101001302",2110,4695,81.4696485623003,9.6272630457934,5.5591054313099,101884,46.3636363636364,1975,2302,4.8,1980,43.9393939393939,3.59259259259259,41.7211328976035
"27","42101001400",1761,4186,66.3401815575729,21.5241280458672,2.48447204968944,98981,50.4217432052484,1981,2456,4.4,2134,36.4104967197751,1.52761457109283,39.3122676579926
"28","42101001500",1758,3027,73.1086884704328,15.3947803105385,5.97951767426495,108378,44.9528936742934,1947,1599,4.2,1486,37.0794078061911,2.39282153539382,41.7664670658683
"29","42101001600",2012,2508,88.755980861244,3.70813397129187,2.15311004784689,144954,49.424405218726,1938,1465,4.3,1303,31.0821181887951,4.52069716775599,32.9192546583851
"30","42101001700",1788,2966,66.9588671611598,4.82130815913688,4.28186109238031,145833,37.2011251758087,1938,1572,4.8,1422,46.4838255977497,1.85078079814922,30.2457466918715
"31","42101001800",1834,3285,73.820395738204,13.4855403348554,5.57077625570776,121719,55.9411764705882,1969,1869,4.6,1700,42.2352941176471,5.23473203157457,31.335436382755
